Player.Name,season,season_copy,player_name_Cal,year,defence_def_rtg,offence,defensive_score,offensive_score,player_name,offensive_ranking,defensive_ranking
marcus-hammond-4,2018-19,2018,marcus-hammond-4_2018,19,1992.08,138.6,1399.2552,-118.16203,marcus-hammond-4_2018-19,6325,5508
ryan-maxwell-1,2021-22,2021,ryan-maxwell-1_2021,22,741.37,-100.3,1687.882,-118.209984,ryan-maxwell-1_2021-22,6326,3735
dalin-williams-1,2019-20,2019,dalin-williams-1_2019,20,2077.7,-153.6,1875.0786,-118.26176,dalin-williams-1_2019-20,6327,2591
preston-parks-1,2018-19,2018,preston-parks-1_2018,19,1404.01,-217.44,1420.6027,-118.26641,preston-parks-1_2018-19,6328,5369
kobe-dickson-1,2019-20,2019,kobe-dickson-1_2019,20,2285.8,-121.5,1985.4797,-118.26692,kobe-dickson-1_2019-20,6329,1918
nick-johnson-3,2021-22,2021,nick-johnson-3_2021,22,1491.6,-222.58,1733.1183,-118.28576,nick-johnson-3_2021-22,6330,3487
matt-dove-1,2021-22,2021,matt-dove-1_2021,22,3055.65,6.84,2273.1804,-118.29899,matt-dove-1_2021-22,6331,662
josh-endicott-1,2020-21,2020,josh-endicott-1_2020,21,2517.67,-47.3,2110.4846,-118.35101,josh-endicott-1_2020-21,6332,1280
trevon-taylor-1,2018-19,2018,trevon-taylor-1_2018,19,1371.88,-171.36,1489.0433,-118.35161,trevon-taylor-1_2018-19,6333,4914
jackson-threadgill-1,2020-21,2020,jackson-threadgill-1_2020,21,1008.48,-138.23,1149.924,-118.398834,jackson-threadgill-1_2020-21,6334,6979
christian-tucker-1,2021-22,2021,christian-tucker-1_2021,22,1339.7499999999998,-43.56,1481.9575,-118.423416,christian-tucker-1_2021-22,6335,4958
deshon-proctor-1,2021-22,2021,deshon-proctor-1_2021,22,3236.28,-83.08,2509.9827,-118.46406,deshon-proctor-1_2021-22,6336,238
brandon-powell-2,2019-20,2019,brandon-powell-2_2019,20,1903.56,-230.05,1870.8114,-118.53493,brandon-powell-2_2019-20,6337,2620
atin-wright-1,2021-22,2021,atin-wright-1_2021,22,1269.28,129.76,1080.9508,-118.55135,atin-wright-1_2021-22,6338,7296
nick-guadarrama-1,2018-19,2018,nick-guadarrama-1_2018,19,1726.5600000000004,30.360000000000003,1882.6104,-118.5575,nick-guadarrama-1_2018-19,6339,2548
luke-appel-1,2020-21,2020,luke-appel-1_2020,21,1630.44,-129.6,1607.7627,-118.578026,luke-appel-1_2020-21,6340,4216
jalanni-white-1,2018-19,2018,jalanni-white-1_2018,19,1438.2600000000002,-173.2,1760.2201,-118.59957,jalanni-white-1_2018-19,6341,3306
noah-meren-1,2021-22,2021,noah-meren-1_2021,22,2130.92,-36.32,1902.9716,-118.606094,noah-meren-1_2021-22,6342,2436
jadyn-parker-1,2020-21,2020,jadyn-parker-1_2020,21,2171.8,-56.98,2005.3068,-118.610085,jadyn-parker-1_2020-21,6343,1798
boden-skunberg-1,2020-21,2020,boden-skunberg-1_2020,21,1714.4199999999998,-248.4,1210.3718,-118.718735,boden-skunberg-1_2020-21,6344,6643
tujautae-williams-1,2020-21,2020,tujautae-williams-1_2020,21,1843.7200000000005,-250.49,1991.22,-118.746956,tujautae-williams-1_2020-21,6345,1876
jason-gibson-1,2020-21,2020,jason-gibson-1_2020,21,1400.3200000000002,261.90000000000003,1039.6901,-118.76908,jason-gibson-1_2020-21,6346,7431
xavier-bell-1,2020-21,2020,xavier-bell-1_2020,21,596.08,-113.22,1057.1447,-118.784546,xavier-bell-1_2020-21,6347,7383
kobe-sanders-1,2021-22,2021,kobe-sanders-1_2021,22,1577.35,-140.94,1389.7217,-118.86811,kobe-sanders-1_2021-22,6348,5568
josh-pitts-1,2018-19,2018,josh-pitts-1_2018,19,944.9500000000002,-193.2,1474.953,-118.87189,josh-pitts-1_2018-19,6349,5012
blake-lampman-1,2019-20,2019,blake-lampman-1_2019,20,1096.1,-83.6,1083.4354,-119.021,blake-lampman-1_2019-20,6350,7287
daniel-akin-1,2019-20,2019,daniel-akin-1_2019,20,2322.28,13.56,2128.0398,-119.03481,daniel-akin-1_2019-20,6351,1205
trey-spencer-1,2018-19,2018,trey-spencer-1_2018,19,1711.24,-123.2,1215.7151,-119.076515,trey-spencer-1_2018-19,6352,6611
will-thomas-3,2021-22,2021,will-thomas-3_2021,22,1817.36,-254.8,1838.1399,-119.09218,will-thomas-3_2021-22,6353,2808
jake-wolfe-1,2020-21,2020,jake-wolfe-1_2020,21,900.3600000000001,-38.34,1212.7372,-119.21497,jake-wolfe-1_2020-21,6354,6630
bryce-johnson-3,2020-21,2020,bryce-johnson-3_2020,21,2796.54,-212.45,2405.393,-119.365486,bryce-johnson-3_2020-21,6355,380
keith-haymon-1,2021-22,2021,keith-haymon-1_2021,22,1625.98,-5.64,1548.1914,-119.38929,keith-haymon-1_2021-22,6356,4553
xavier-lipscomb-1,2020-21,2020,xavier-lipscomb-1_2020,21,1494.84,-174.3,1463.7631,-119.46523,xavier-lipscomb-1_2020-21,6357,5083
myles-franklin-2,2018-19,2018,myles-franklin-2_2018,19,955.97,-122.4,1116.8269,-119.47226,myles-franklin-2_2018-19,6358,7133
matt-halvorsen-1,2020-21,2020,matt-halvorsen-1_2020,21,1129.88,-140.23,917.89954,-120.007866,matt-halvorsen-1_2020-21,6359,7649
taveion-white-1,2021-22,2021,taveion-white-1_2021,22,1407.6,-113.92,1871.2904,-120.01681,taveion-white-1_2021-22,6360,2614
taj-benning-1,2019-20,2019,taj-benning-1_2019,20,1720.7599999999998,-133.44,1607.9877,-120.038506,taj-benning-1_2019-20,6361,4213
lamont-berzat-1,2018-19,2018,lamont-berzat-1_2018,19,1248.75,-225.9,1140.714,-120.13085,lamont-berzat-1_2018-19,6362,7024
jarius-cook-1,2018-19,2018,jarius-cook-1_2018,19,1332.25,-126.35,1371.7998,-120.148315,jarius-cook-1_2018-19,6363,5695
kaleb-thornton-1,2020-21,2020,kaleb-thornton-1_2020,21,1261.24,-90.61,1302.814,-120.17733,kaleb-thornton-1_2020-21,6364,6115
kane-milling-1,2020-21,2020,kane-milling-1_2020,21,1394.8,0,1225.29,-120.215416,kane-milling-1_2020-21,6365,6562
festus-ndumanya-1,2019-20,2019,festus-ndumanya-1_2019,20,2338.3,-227.43,1988.6788,-120.21949,festus-ndumanya-1_2019-20,6366,1892
jamaure-gregg-1,2019-20,2019,jamaure-gregg-1_2019,20,2046.44,-425.68,2163.9067,-120.40349,jamaure-gregg-1_2019-20,6367,1048
terell-strickland-1,2021-22,2021,terell-strickland-1_2021,22,984.68,-77.72,1352.6799,-120.42844,terell-strickland-1_2021-22,6368,5820
